电影排名,电影名称,电影年份,国家,电影类型,导演,经典影评,评论数,评分,电影网址
1,肖申克的救赎,1994,美国,犯罪 剧情, 弗兰克·德拉邦特 Frank Darabont,希望让人自由。,3033983人评价,9.7,https://movie.douban.com/subject/1292052/
2,霸王别姬,1993,中国大陆 中国香港,剧情 爱情 同性, 陈凯歌 Kaige Chen,风华绝代。,2242587人评价,9.6,https://movie.douban.com/subject/1291546/
3,阿甘正传,1994,美国,剧情 爱情, 罗伯特·泽米吉斯 Robert Zemeckis,一部美国近现代史。,2260671人评价,9.5,https://movie.douban.com/subject/1292720/
4,泰坦尼克号,1997,美国 墨西哥,剧情 爱情 灾难, 詹姆斯·卡梅隆 James Cameron,失去的才是永恒的。 ,2299851人评价,9.5,https://movie.douban.com/subject/1292722/
5,千与千寻,2001,日本,剧情 动画 奇幻, 宫崎骏 Hayao Miyazaki,最好的宫崎骏，最好的久石让。 ,2348828人评价,9.4,https://movie.douban.com/subject/1291561/
6,这个杀手不太冷,1994,法国 美国,剧情 动作 犯罪, 吕克·贝松 Luc Besson,怪蜀黍和小萝莉不得不说的故事。,2386690人评价,9.4,https://movie.douban.com/subject/1295644/
7,美丽人生,1997,意大利,剧情 喜剧 爱情 战争, 罗伯托·贝尼尼 Roberto Benigni,最美的谎言。,1383428人评价,9.5,https://movie.douban.com/subject/1292063/
8,星际穿越,2014,美国 英国 加拿大,剧情 科幻 冒险, 克里斯托弗·诺兰 Christopher Nolan,爱是一种力量，让我们超越时空感知它的存在。,1965803人评价,9.4,https://movie.douban.com/subject/1889243/
9,盗梦空间,2010,美国 英国,剧情 科幻 悬疑 冒险, 克里斯托弗·诺兰 Christopher Nolan,诺兰给了我们一场无法盗取的梦。,2162996人评价,9.4,https://movie.douban.com/subject/3541415/
10,楚门的世界,1998,美国,剧情 科幻, 彼得·威尔 Peter Weir,如果再也不能见到你，祝你早安，午安，晚安。,1819546人评价,9.4,https://movie.douban.com/subject/1292064/
11,辛德勒的名单,1993,美国,剧情 历史 战争, 史蒂文·斯皮尔伯格 Steven Spielberg,拯救一个人，就是拯救整个世界。,1170321人评价,9.5,https://movie.douban.com/subject/1295124/
12,忠犬八公的故事,2009,美国 英国,剧情, 莱塞·霍尔斯道姆 Lasse Hallstr?m,永远都不能忘记你所爱的人。,1450381人评价,9.4,https://movie.douban.com/subject/3011091/
13,海上钢琴师,1998,意大利,剧情 音乐, 朱塞佩·托纳多雷 Giuseppe Tornatore,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1748355人评价,9.3,https://movie.douban.com/subject/1292001/
14,三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞, 拉库马·希拉尼 Rajkumar Hirani,英俊版憨豆，高情商版谢耳朵。,1939036人评价,9.2,https://movie.douban.com/subject/3793023/
15,放牛班的春天,2004,法国 瑞士 德国,剧情 音乐, 克里斯托夫·巴拉蒂 Christophe Barratier,天籁一般的童声，是最接近上帝的存在。 ,1373392人评价,9.3,https://movie.douban.com/subject/1291549/
16,机器人总动员,2008,美国,科幻 动画 冒险, 安德鲁·斯坦顿 Andrew Stanton,小瓦力，大人生。,1378024人评价,9.3,https://movie.douban.com/subject/2131459/
17,疯狂动物城,2016,美国,喜剧 动画 冒险, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2055363人评价,9.2,https://movie.douban.com/subject/25662329/
18,无间道,2002,中国香港,剧情 犯罪 惊悚, 刘伟强 / 麦兆辉,香港电影史上永不过时的杰作。,1441307人评价,9.3,https://movie.douban.com/subject/1307914/
19,控方证人,1957,美国,剧情 犯罪 悬疑, 比利·怀尔德 Billy Wilder,比利·怀德满分作品。,618389人评价,9.6,https://movie.douban.com/subject/1296141/
20,大话西游之大圣娶亲,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装, 刘镇伟 Jeffrey Lau,一生所爱。,1598695人评价,9.2,https://movie.douban.com/subject/1292213/
21,熔炉,2011,韩国,剧情, 黄东赫 Dong-hyuk Hwang,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,972784人评价,9.4,https://movie.douban.com/subject/5912992/
22,教父,1972,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola,千万不要记恨你的对手，这样会让你失去理智。,1019268人评价,9.3,https://movie.douban.com/subject/1291841/
23,触不可及,2011,法国,剧情 喜剧, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,满满温情的高雅喜剧。,1183644人评价,9.3,https://movie.douban.com/subject/6786002/
24,当幸福来敲门,2006,美国,剧情 传记 家庭, 加布里尔·穆奇诺 Gabriele Muccino,平民励志片。 ,1583844人评价,9.2,https://movie.douban.com/subject/1849031/
25,寻梦环游记,2017,美国,喜剧 动画 奇幻 音乐, 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,死亡不是真的逝去，遗忘才是永恒的消亡。,1785556人评价,9.1,https://movie.douban.com/subject/20495023/
26,末代皇帝,1987,英国 意大利 中国大陆 法国,剧情 传记 历史, 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,941064人评价,9.3,https://movie.douban.com/subject/1293172/
27,龙猫,1988,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,人人心中都有个龙猫，童年就永远不会消失。,1323351人评价,9.2,https://movie.douban.com/subject/1291560/
28,怦然心动,2010,美国,剧情 喜剧 爱情, 罗伯·莱纳 Rob Reiner,真正的幸福是来自内心深处。,1915561人评价,9.1,https://movie.douban.com/subject/3319755/
29,活着,1994,中国大陆 中国香港,剧情 历史 家庭, 张艺谋 Yimou Zhang,张艺谋最好的电影。,895112人评价,9.3,https://movie.douban.com/subject/1292365/
30,哈利·波特与魔法石,2001,美国 英国,奇幻 冒险, Chris Columbus,童话世界的开端。,1267046人评价,9.2,https://movie.douban.com/subject/1295038/
31,蝙蝠侠：黑暗骑士,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan,无尽的黑暗。,1113739人评价,9.2,https://movie.douban.com/subject/1851857/
32,指环王3：王者无敌,2003,美国 新西兰,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson,史诗的终章。,844462人评价,9.3,https://movie.douban.com/subject/1291552/
33,我不是药神,2018,中国大陆,剧情 喜剧, 文牧野 Muye Wen,对我们国家而言，这样的电影多一部是一部。,2199325人评价,9,https://movie.douban.com/subject/26752088/
34,乱世佳人,1939,美国,剧情 历史 爱情 战争, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,Tomorrow is another day.,726705人评价,9.3,https://movie.douban.com/subject/1300267/
35,飞屋环游记,2009,美国,剧情 喜剧 动画 冒险, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,最后那些最无聊的事情，才是最值得怀念的。 ,1390763人评价,9.1,https://movie.douban.com/subject/2129039/
36,素媛,2013,韩国,剧情, 李濬益 Jun-ik Lee,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,721908人评价,9.3,https://movie.douban.com/subject/21937452/
37,哈尔的移动城堡,2004,日本,爱情 动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,带着心爱的人在天空飞翔。,1151903人评价,9.1,https://movie.douban.com/subject/1308807/
38,十二怒汉,1957,美国,剧情, Sidney Lumet,1957年的理想主义。 ,524841人评价,9.4,https://movie.douban.com/subject/1293182/
39,让子弹飞,2010,中国大陆 中国香港,剧情 喜剧 动作 西部, 姜文 Wen Jiang,你给我翻译翻译，神马叫做TMD的惊喜。,1783555人评价,9,https://movie.douban.com/subject/3742360/
40,何以为家,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情, 娜丁·拉巴基 Nadine Labaki,凝视卑弱生命，用电影改变命运。,1093176人评价,9.1,https://movie.douban.com/subject/30170448/
41,摔跤吧！爸爸,2016,印度,剧情 传记 运动 家庭, 涅提·蒂瓦里 Nitesh Tiwari,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,1634719人评价,9,https://movie.douban.com/subject/26387939/
42,猫鼠游戏,2002,美国 加拿大,传记 犯罪 剧情, 史蒂文·斯皮尔伯格 Steven Spielberg,骗子大师和执著警探的你追我跑故事。 ,1095010人评价,9.1,https://movie.douban.com/subject/1305487/
43,海蒂和爷爷,2015,德国 瑞士,剧情 冒险 家庭, 阿兰·葛斯彭纳 Alain Gsponer,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,676373人评价,9.3,https://movie.douban.com/subject/25958717/
